from_node,from_node_name,to_node,to_node_name,neighbor,tau
0,3,0,3,1,1
0,3,1,6,1,1
0,3,2,7,0,1
0,3,3,8,0,2
0,3,4,22,0,2
0,3,5,24,0,2
0,3,6,28,0,2
0,3,7,32,0,2
0,3,8,33,0,2
1,6,0,3,1,1
1,6,1,6,1,1
1,6,2,7,1,1
1,6,3,8,0,1
1,6,4,22,0,2
1,6,5,24,0,2
1,6,6,28,0,2
1,6,7,32,0,2
1,6,8,33,0,2
2,7,0,3,0,1
2,7,1,6,1,1
2,7,2,7,1,1
2,7,3,8,1,1
2,7,4,22,1,1
2,7,5,24,1,1
2,7,6,28,0,2
2,7,7,32,0,2
2,7,8,33,0,2
3,8,0,3,0,1
3,8,1,6,0,1
3,8,2,7,1,1
3,8,3,8,1,1
3,8,4,22,0,2
3,8,5,24,1,1
3,8,6,28,1,1
3,8,7,32,1,1
3,8,8,33,0,2
4,22,0,3,0,2
4,22,1,6,0,2
4,22,2,7,1,1
4,22,3,8,0,2
4,22,4,22,1,1
4,22,5,24,1,1
4,22,6,28,0,2
4,22,7,32,0,2
4,22,8,33,0,2
5,24,0,3,0,2
5,24,1,6,0,2
5,24,2,7,1,1
5,24,3,8,1,1
5,24,4,22,1,1
5,24,6,28,1,1
5,24,5,24,1,1
5,24,7,32,0,2
5,24,8,33,0,2
6,28,0,3,0,2
6,28,1,6,0,2
6,28,2,7,0,2
6,28,3,8,1,1
6,28,4,22,0,1
6,28,5,24,1,1
6,28,6,28,1,1
6,28,7,32,1,1
6,28,8,33,1,1
7,32,0,3,0,2
7,32,1,6,0,2
7,32,2,7,0,2
7,32,3,8,1,1
7,32,4,22,0,2
7,32,5,24,0,1
7,32,6,28,1,1
7,32,7,32,1,1
7,32,8,33,1,1
8,33,0,3,0,2
8,33,1,6,0,2
8,33,2,7,0,2
8,33,3,8,0,2
8,33,4,22,0,2
8,33,5,24,0,2
8,33,6,28,1,1
8,33,7,32,1,1
8,33,8,33,1,1
